City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saint anthony,90,US,1584398909,70,45.02,-93.22,39.2,8.05
hilo,75,US,1584398961,54,19.73,-155.09,82.4,14.99
mar del plata,0,AR,1584399082,77,-38.0,-57.56,66.0,9.17
butaritari,82,KI,1584399084,77,3.07,172.79,83.89,11.95
cap malheureux,75,MU,1584399084,88,-19.98,57.61,77.0,8.05
chokurdakh,0,RU,1584399084,87,70.63,147.92,-12.95,1.74
ushuaia,20,AR,1584398791,57,-54.8,-68.3,50.0,29.97
longyearbyen,20,SJ,1584399085,82,78.22,15.64,-18.4,4.7
mataura,71,NZ,1584399085,79,-46.19,168.86,52.0,1.99
provideniya,90,RU,1584398906,86,64.38,-173.3,26.6,4.47
souillac,75,MU,1584399085,88,-20.52,57.52,77.0,8.05
moussoro,4,TD,1584399085,10,13.64,16.49,72.86,10.2
kaitangata,100,NZ,1584398990,58,-46.28,169.85,50.95,8.19
nouadhibou,70,MR,1584399086,63,20.93,-17.03,66.2,21.92
hobart,73,AU,1584399086,67,-42.88,147.33,60.01,10.29
charters towers,30,AU,1584399086,54,-20.1,146.27,79.43,12.08
anadyr,90,RU,1584399086,92,64.75,177.48,26.6,38.03
nishihara,75,JP,1584398933,67,26.18,127.76,59.0,4.7
padang,76,ID,1584399087,90,-0.95,100.35,69.94,5.75
bluff,80,NZ,1584399087,79,-46.6,168.33,52.0,1.99
kapaa,90,US,1584399087,94,22.08,-159.32,73.4,24.16
khatanga,8,RU,1584399087,96,71.97,102.5,-31.49,7.7
jhusi,86,IN,1584399087,46,25.43,81.93,64.8,3.09
shenjiamen,96,CN,1584399088,82,29.96,122.3,54.36,15.84
luderitz,0,NA,1584399088,88,-26.65,15.16,64.4,8.05
nambucca heads,75,AU,1584399088,82,-30.65,153.0,68.0,14.99
kisesa,91,TZ,1584399088,88,-3.08,34.15,65.26,2.08
mitikas,0,GR,1584399088,25,38.67,20.95,50.0,10.29
agadir,0,MA,1584399088,72,30.42,-9.6,60.8,13.87
san francisco,1,US,1584398887,62,37.77,-122.42,54.0,9.17
lorengau,100,PG,1584399089,88,-2.02,147.27,78.24,10.47
touros,75,BR,1584399089,83,-5.2,-35.46,80.6,6.93
leh,100,IN,1584398926,36,34.17,77.58,12.4,0.81
ostrovnoy,44,RU,1584399089,85,68.05,39.51,21.07,24.79
castro,50,BR,1584399089,97,-24.79,-50.01,66.02,7.36
pozo colorado,43,PY,1584399090,64,-23.49,-58.8,80.19,2.13
adre,29,TD,1584399090,16,13.47,22.2,72.72,10.0
college,90,US,1584399090,80,64.86,-147.8,33.8,3.36
winnemucca,20,US,1584399001,21,40.97,-117.74,59.0,10.29
tiksi,100,RU,1584399090,97,71.69,128.87,-1.5,3.4
punta arenas,40,CL,1584399090,50,-53.15,-70.92,51.8,28.86
lodja,100,CD,1584399091,99,-3.48,23.43,70.23,1.25
mayya,40,RU,1584399091,84,61.73,130.28,6.8,6.71
gari,48,RU,1584399091,96,59.43,62.35,24.49,6.35
pierre,90,US,1584398929,63,44.37,-100.35,35.01,9.17
barrow,90,US,1584399091,92,71.29,-156.79,10.4,8.05
baracoa,67,CU,1584399091,79,20.35,-74.5,75.76,15.82
bambous virieux,75,MU,1584399091,88,-20.34,57.76,77.0,8.05
avarua,100,CK,1584398884,79,-21.21,-159.78,84.2,20.22
katsuura,20,JP,1584399092,48,35.13,140.3,45.0,5.82
norsup,75,VU,1584399092,88,-16.07,167.38,80.6,3.36
cherskiy,99,RU,1584398940,81,68.75,161.3,21.96,19.64
muros,20,ES,1584399092,87,42.78,-9.06,52.0,9.17
saint-philippe,20,RE,1584398919,94,-21.36,55.77,75.2,8.05
port alfred,19,ZA,1584399093,84,-33.59,26.89,64.0,1.01
cidreira,100,BR,1584399093,77,-30.18,-50.21,73.76,10.31
freetown,62,SL,1584399093,72,8.48,-13.23,77.4,2.01
nome,90,US,1584398978,96,64.5,-165.41,28.99,10.29
caravelas,100,BR,1584399093,81,-17.71,-39.25,80.82,6.8
oga,28,IT,1584399094,85,46.46,10.35,37.99,2.24
isangel,90,VU,1584399094,83,-19.55,169.27,84.2,6.93
codrington,41,AU,1584399094,55,-38.27,141.97,67.62,14.61
talnakh,90,RU,1584399094,83,69.49,88.4,-14.8,8.95
cockburn town,40,TC,1584398927,69,21.46,-71.14,77.0,11.41
leningradskiy,100,RU,1584399094,77,69.38,178.42,24.6,10.85
sao felix do xingu,63,BR,1584399095,96,-6.64,-51.99,72.84,2.42
port hedland,0,AU,1584399095,88,-20.32,118.57,77.0,3.36
faanui,17,PF,1584399095,72,-16.48,-151.75,83.28,7.9
east london,57,ZA,1584399095,73,-33.02,27.91,68.36,20.8
honningsvag,75,NO,1584399095,85,70.98,25.97,24.8,35.57
aasiaat,89,GL,1584399095,90,68.71,-52.87,-12.01,12.41
atuona,37,PF,1584399096,66,-9.8,-139.03,82.4,8.59
fomboni,54,KM,1584399096,67,-12.28,43.74,84.04,9.33
flinders,75,AU,1584399096,77,-34.58,150.86,64.99,6.93
asau,64,RO,1584399096,58,46.43,26.4,30.2,9.17
srandakan,100,ID,1584399096,86,-7.94,110.25,77.86,1.03
cabra,97,ES,1584399096,87,37.47,-4.44,46.4,1.12
varberg,44,SE,1584399096,87,57.11,12.25,42.8,4.7
aguimes,75,ES,1584399097,72,27.91,-15.45,64.0,24.16
high rock,75,BS,1584399097,74,26.62,-78.28,78.8,14.99
pueblo,1,US,1584398905,22,38.25,-104.61,68.0,10.29
haverfordwest,100,GB,1584398995,81,51.8,-4.97,48.2,24.16
darnah,84,LY,1584399097,71,32.77,22.64,55.87,23.09
port-gentil,40,GA,1584399097,83,-0.72,8.78,84.2,5.82
lompoc,90,US,1584398935,87,34.64,-120.46,51.8,10.63
whitehorse,20,CA,1584398999,34,60.72,-135.05,35.6,10.29
jamestown,40,US,1584399098,45,42.1,-79.24,46.99,18.34
salinas,81,US,1584399098,71,36.68,-121.66,55.4,8.81
ponta do sol,75,PT,1584398960,58,32.67,-17.1,59.0,19.46
puerto ayora,28,EC,1584399099,66,-0.74,-90.35,84.2,10.29
jalu,0,LY,1584399099,39,29.03,21.55,65.43,11.23
zhezkazgan,90,KZ,1584399099,82,47.8,67.71,37.27,7.2
tessalit,62,ML,1584399099,7,20.2,1.01,81.75,8.95
saskylakh,67,RU,1584399099,93,71.92,114.08,-31.09,13.6
mahebourg,75,MU,1584399099,88,-20.41,57.7,77.0,8.05
quilmana,31,PE,1584399099,89,-12.95,-76.38,72.54,7.65
plettenberg bay,5,ZA,1584399100,80,-34.05,23.37,63.68,7.9
bathsheba,20,BB,1584399100,69,13.22,-59.52,78.8,9.17
bethel,75,US,1584398930,64,41.37,-73.41,42.01,8.05
fuxin,0,CN,1584399100,47,42.02,121.66,41.88,19.44
olafsvik,100,IS,1584399100,77,64.89,-23.71,29.79,49.75
cape town,0,ZA,1584398940,60,-33.93,18.42,68.0,17.22
belmonte,40,BR,1584399101,74,-15.86,-38.88,80.6,3.36
carinhanha,46,BR,1584399101,91,-14.3,-43.77,71.69,2.51
kirakira,100,SB,1584399101,75,-10.45,161.92,83.08,6.17
camana,100,PE,1584399101,88,-16.62,-72.71,65.91,3.76
alindao,87,CF,1584399101,26,5.03,21.21,85.48,4.68
carnarvon,75,AU,1584399101,83,-24.87,113.63,73.4,11.41
chumikan,58,RU,1584399102,69,54.72,135.31,22.05,14.2
kokorevka,100,RU,1584399102,61,52.59,34.28,32.47,10.69
gemena,40,CD,1584399102,79,3.25,19.77,73.99,2.59
slochteren,90,NL,1584399102,100,53.22,6.81,43.0,4.7
humberto de campos,100,BR,1584398960,94,-2.6,-43.46,75.06,3.44
kodinsk,100,RU,1584399102,90,58.69,99.18,18.12,18.52
tasiilaq,100,GL,1584399102,72,65.61,-37.64,14.0,10.29
general pico,21,AR,1584398886,68,-35.66,-63.76,72.59,8.48
guerrero negro,39,MX,1584399103,64,27.98,-114.06,62.46,17.47
port elizabeth,57,ZA,1584399103,77,-33.92,25.57,66.2,20.8
camopi,80,GF,1584399103,85,3.17,-52.32,76.68,5.32
hovd,100,MN,1584399103,24,48.01,91.64,30.87,7.2
robertsport,96,LR,1584399103,84,6.75,-11.37,82.49,14.16
lapua,61,FI,1584399103,68,62.97,23.01,28.4,2.24
kitui,57,KE,1584399104,84,-1.37,38.01,69.73,2.73
oktyabrskiy,100,RU,1584399104,91,54.48,53.47,26.64,10.09
ubauro,0,PK,1584399104,30,28.17,69.73,69.8,4.47
sibolga,23,ID,1584399104,95,1.74,98.78,70.92,3.94
geraldton,75,AU,1584399104,68,-28.77,114.6,71.6,10.29
torbay,20,CA,1584398943,62,47.67,-52.73,21.0,8.5
zhenhai,12,CN,1584399104,72,24.26,118.09,60.8,2.24
shimoda,100,JP,1584399105,54,34.67,138.95,44.01,1.01
namibe,75,AO,1584398985,81,-15.2,12.15,74.75,4.23
lavumisa,22,SZ,1584399105,90,-27.31,31.89,60.8,5.03
kavieng,77,PG,1584399105,72,-2.57,150.8,84.4,8.46
koygorodok,100,RU,1584399105,93,60.45,51.0,27.09,9.46
dubbo,0,AU,1584399105,72,-32.25,148.62,60.8,10.29
dikson,100,RU,1584398939,93,73.51,80.55,1.04,30.56
montelimar,93,FR,1584399106,70,44.56,4.75,48.99,2.57
victoria,20,HK,1584398886,77,22.29,114.16,69.01,17.22
coquimbo,75,CL,1584399106,77,-29.95,-71.34,62.6,9.17
upernavik,25,GL,1584399106,54,72.79,-56.15,-18.29,8.66
druzhba,100,UA,1584399106,61,52.04,33.95,32.31,12.86
esperance,97,AU,1584399106,93,-33.87,121.9,64.4,9.17
trinidad,90,BO,1584399107,88,-14.83,-64.9,80.6,4.7
lebedyn,100,UA,1584399107,52,50.59,34.48,32.31,8.1
patti,20,IN,1584399107,93,31.28,74.86,62.6,3.4
erzurum,90,TR,1584399107,100,40.0,41.5,30.2,16.11
karwar,4,IN,1584399107,67,14.8,74.13,75.07,3.24
nanortalik,0,GL,1584399107,58,60.14,-45.24,19.0,39.93
abdulino,93,RU,1584399107,94,53.7,53.67,27.48,11.54
champerico,40,GT,1584399108,52,14.3,-91.92,91.4,11.41
taft,40,IR,1584399108,64,31.75,54.21,62.6,4.7
severo-kurilsk,97,RU,1584399108,81,50.68,156.12,22.42,3.0
sjenica,0,RS,1584399108,75,43.27,20.0,32.04,4.5
kruisfontein,15,ZA,1584399108,77,-34.0,24.73,61.2,21.68
hithadhoo,43,MV,1584399109,70,-0.6,73.08,83.88,7.43
qinzhou,100,CN,1584399109,92,21.95,108.62,69.57,8.21
joshimath,0,IN,1584399109,25,30.57,79.57,31.77,9.91
bengkulu,100,ID,1584399109,83,-3.8,102.27,76.3,2.75
kodiak,90,US,1584398921,80,57.79,-152.41,39.2,7.54
santa vitoria do palmar,0,BR,1584398894,70,-33.52,-53.37,64.65,8.72
villach,3,AT,1584399110,74,46.61,13.86,39.0,6.93
zabol,58,AF,1584399110,70,32.25,67.25,44.38,9.75
hay river,75,CA,1584399110,59,60.82,-115.8,-0.4,11.41
abalak,90,RU,1584399110,94,58.13,68.59,24.6,7.83
honiara,40,SB,1584399047,83,-9.43,159.95,84.2,3.36
vardo,40,NO,1584398934,85,70.37,31.11,23.0,28.86
bandarbeyla,79,SO,1584399110,77,9.49,50.81,78.94,11.86
arraial do cabo,0,BR,1584398917,86,-22.97,-42.03,78.57,22.28
raudeberg,75,NO,1584399111,80,61.99,5.14,42.01,33.33
tucuman,90,AR,1584399111,94,-26.82,-65.22,68.0,3.36
kainantu,100,PG,1584399111,91,-6.29,145.87,64.62,2.3
camacha,40,PT,1584399111,58,33.08,-16.33,59.0,12.75
udachnyy,90,RU,1584399111,83,66.42,112.4,-4.0,4.47
yokadouma,45,CM,1584399111,75,3.52,15.05,72.79,2.04
mitsamiouli,1,KM,1584399112,71,-11.38,43.28,82.81,3.83
sao filipe,39,CV,1584399112,78,14.9,-24.5,68.68,20.69
fairbanks,90,US,1584399026,80,64.84,-147.72,32.0,3.36
bandar-e anzali,100,IR,1584399112,84,37.47,49.46,48.09,13.96
inhambane,29,MZ,1584399112,78,-23.86,35.38,77.86,16.24
aranda de duero,100,ES,1584399112,89,41.67,-3.69,44.19,24.11
ulkan,100,RU,1584399112,90,57.24,107.32,27.86,14.67
axim,98,GH,1584399113,89,4.87,-2.24,79.16,4.79
sitka,90,US,1584399113,80,57.05,-135.33,39.2,5.82
san patricio,20,MX,1584398910,79,19.22,-104.7,84.2,11.41
saint-augustin,0,CA,1584398966,82,51.23,-58.65,12.99,12.57
tromso,90,NO,1584399113,86,69.65,18.96,28.4,9.17
ilembula,100,TZ,1584399113,97,-8.9,34.58,61.61,3.31
rocha,0,UY,1584399113,82,-34.48,-54.33,57.04,6.06
makokou,100,GA,1584399114,97,0.57,12.86,72.45,3.62
muncar,20,ID,1584399114,81,-8.43,114.33,81.0,1.57
gravdal,90,NO,1584399114,64,68.12,13.5,32.0,4.7
birao,46,CF,1584399115,17,10.28,22.79,78.62,7.92
alofi,75,NU,1584399115,79,-19.06,-169.92,84.2,8.05
tual,74,ID,1584399115,71,-5.67,132.75,82.63,5.21
constancia,40,MX,1584399115,40,24.22,-107.19,86.0,5.82
vanavara,100,RU,1584399116,94,60.34,102.28,29.08,13.02
lebu,87,CL,1584399116,79,-37.62,-73.65,58.26,9.44
terrace,40,CA,1584399093,35,54.52,-128.6,42.8,2.24
charagua,75,BO,1584399116,88,-19.8,-63.22,75.2,4.16
naples,0,IT,1584399116,71,40.83,14.25,55.0,3.36
saint george,100,US,1584398852,28,37.1,-113.58,66.99,11.41
port-cartier,20,CA,1584399116,56,50.03,-66.87,16.0,4.7
bredasdorp,40,ZA,1584399117,77,-34.53,20.04,66.0,17.22
khandagayty,100,RU,1584399117,74,50.73,92.05,8.65,1.23
amapa,73,BR,1584399117,98,1.0,-52.0,73.8,2.98
dhidhdhoo,57,MV,1584399117,74,6.88,73.1,82.9,8.34
ladnun,0,IN,1584399117,49,27.65,74.38,63.43,4.25
svetlaya,50,RU,1584399117,64,46.54,138.33,26.87,14.12
noumea,75,NC,1584398930,69,-22.28,166.46,80.6,9.17
yar-sale,100,RU,1584399118,92,66.83,70.83,19.09,14.74
dhadar,0,IN,1584399118,51,28.33,75.06,65.46,4.47
hauterive,90,FR,1584399118,71,46.09,3.45,51.8,4.7
roma,1,US,1584398945,33,43.21,-75.46,50.0,13.87
novyy urgal,75,RU,1584399118,88,51.07,132.56,11.3,1.01
ancud,90,CL,1584398914,82,-41.87,-73.82,60.8,8.05
shakawe,89,BW,1584399119,88,-18.37,21.85,65.55,4.09
voh,4,NC,1584399119,77,-20.97,164.7,79.32,15.26
zemio,5,CF,1584399119,49,5.03,25.14,74.53,2.19
arrecife,75,ES,1584399119,67,28.96,-13.55,64.4,17.22
najran,98,SA,1584399119,25,17.49,44.13,73.4,2.24
santa lucia,75,ES,1584399119,72,27.91,-15.54,64.0,24.16
njombe,100,TZ,1584399120,99,-9.33,34.77,61.52,2.51
naze,75,JP,1584399120,81,28.37,129.48,55.4,2.24
chepareria,62,KE,1584399120,63,1.31,35.2,70.74,2.42
kahului,40,US,1584399120,65,20.89,-156.47,80.6,5.82
kavaratti,63,IN,1584399037,71,10.57,72.64,82.11,8.7
kailua,1,US,1584399121,69,21.4,-157.74,80.6,10.29
rio gallegos,20,AR,1584399006,41,-51.62,-69.22,57.2,32.21
hamilton,90,US,1584399121,66,39.18,-84.53,48.2,10.29
mandalgovi,89,MN,1584399121,36,45.76,106.27,33.64,12.8
jiayuguan,0,CN,1584399121,24,39.82,98.3,36.39,7.96
nueve de julio,0,AR,1584399121,59,-35.44,-60.88,72.0,1.01
cefalu,41,IT,1584399121,75,38.04,14.02,55.99,7.0
tura,33,IN,1584398927,43,25.52,90.22,64.69,2.71
hobyo,72,SO,1584399122,74,5.35,48.53,79.92,14.88
krasnoselkup,50,RU,1584399122,84,65.7,82.47,-4.88,16.17
ilulissat,99,GL,1584399122,53,69.22,-51.1,-5.8,11.41
piacabucu,100,BR,1584399122,81,-10.41,-36.43,80.04,3.62
vila velha,1,BR,1584399122,83,-20.33,-40.29,81.0,10.29
aklavik,75,CA,1584399122,86,68.22,-135.01,26.6,23.04
carmen,40,MX,1584399123,74,18.63,-91.83,82.4,11.41
morehead,90,US,1584399123,87,37.27,-87.18,45.0,1.19
jackson,40,US,1584398963,53,42.42,-122.83,55.0,4.7
bintulu,75,MY,1584399123,94,3.17,113.03,77.0,1.61
gayny,65,RU,1584399123,93,60.31,54.32,18.39,7.18
erzin,40,TR,1584399123,100,36.96,36.2,59.0,5.82
talca,67,CL,1584399051,34,-35.43,-71.67,78.8,9.17
kutum,10,SD,1584399124,21,14.2,24.67,60.48,4.56
borovoy,91,RU,1584398925,86,55.43,86.08,26.6,11.18
satuk,55,TR,1584399124,89,41.23,32.38,17.73,1.68
pevek,100,RU,1584399124,76,69.7,170.31,25.68,26.49
poum,29,NC,1584399124,77,-20.23,164.02,80.46,13.8
tulagi,40,SB,1584399125,83,-9.1,160.15,84.2,3.36
hartselle,75,US,1584399125,72,34.44,-86.94,66.2,3.36
ajdabiya,0,LY,1584399125,76,30.76,20.23,61.56,22.79
plouzane,4,FR,1584399125,93,48.38,-4.62,42.8,2.24
baykit,100,RU,1584399125,87,61.67,96.37,24.31,13.04
tezu,7,IN,1584399126,46,27.92,96.17,59.18,3.04
manjacaze,52,MZ,1584399126,90,-24.71,33.88,72.3,11.21
tuktoyaktuk,90,CA,1584399126,92,69.45,-133.04,14.0,24.16
son la,35,VN,1584399126,85,21.32,103.9,68.74,1.83
vangaindrano,63,MG,1584399126,96,-23.35,47.6,71.06,1.21
pangnirtung,90,CA,1584399126,76,66.15,-65.71,-4.0,4.7
tobati,19,PY,1584399126,43,-25.25,-57.07,91.4,8.05
agadez,80,NE,1584399127,9,19.75,10.25,69.78,3.6
maningrida,0,AU,1584399127,65,-12.07,134.27,82.2,6.29
airai,43,TL,1584398936,67,-8.93,125.41,74.07,2.48
anaco,68,VE,1584399127,75,9.44,-64.47,76.06,3.98
san quintin,78,MX,1584399127,63,30.48,-115.95,59.05,8.03
tuatapere,8,NZ,1584399127,79,-46.13,167.68,52.0,1.99
mlonggo,40,ID,1584399127,94,-6.53,110.7,78.8,2.24
filadelfia,90,US,1584398936,59,39.95,-75.16,46.4,6.93
vestmanna,59,FO,1584399128,69,62.16,-7.17,41.0,11.41
yeppoon,13,AU,1584399128,60,-23.13,150.73,73.4,8.05
avon,90,US,1584399128,90,41.45,-82.04,48.2,3.42
marienburg,6,PL,1584399128,100,54.04,19.03,44.01,5.82
ahipara,83,NZ,1584399128,69,-35.17,173.17,66.63,18.86
ziway,100,ET,1584399128,87,7.93,38.72,61.05,5.5
abu dhabi,0,AE,1584399046,73,24.47,54.37,75.0,4.7
tiarei,40,PF,1584399129,70,-17.53,-149.33,86.0,3.36
karratha,0,AU,1584399129,69,-20.74,116.85,85.41,7.14
humboldt,20,US,1584399129,89,40.67,-123.92,54.0,9.17
kamenka,0,RU,1584399129,77,51.32,42.77,27.07,6.62
sobolevo,100,RU,1584399129,66,54.43,31.9,33.57,11.18
makungu,100,TZ,1584399129,99,-8.73,35.28,60.58,2.64
zhigansk,99,RU,1584399130,96,66.77,123.37,-6.14,16.11
norman wells,90,CA,1584399130,78,65.28,-126.83,8.6,3.36
vanderhoof,37,CA,1584399130,78,54.02,-124.02,34.05,3.96
lata,20,PT,1584399130,66,40.16,-8.33,54.0,17.22
lebedinyy,100,RU,1584399130,93,58.52,125.52,19.92,7.78
chumphon,69,TH,1584399130,90,10.33,98.83,74.05,1.92
adrar,73,MR,1584399130,18,20.5,-10.07,67.46,8.75
kungurtug,100,RU,1584399131,70,50.6,97.52,19.06,1.32
murmashi,75,RU,1584399131,73,68.82,32.81,26.6,6.71
san cristobal,40,VE,1584399131,51,7.77,-72.22,86.0,9.17
balakovo,39,RU,1584399131,85,52.03,47.8,28.65,7.0
mountain home,75,US,1584398948,50,43.13,-115.69,57.99,6.93
sao gabriel,45,BR,1584399131,72,-30.34,-54.32,71.94,12.91
leo,95,BF,1584399132,29,11.1,-2.1,87.75,4.56
houston,90,US,1584398990,88,29.76,-95.36,75.99,6.93
sokolo,17,ML,1584399132,10,14.73,-6.12,82.24,10.25
sawakin,3,SD,1584399132,71,19.11,37.33,74.14,6.96
ulladulla,75,AU,1584399132,77,-35.35,150.47,66.0,6.93
katav-ivanovsk,100,RU,1584399133,95,54.75,58.2,15.28,8.03
songea,100,TZ,1584399133,99,-10.68,35.65,66.27,1.52
constitucion,67,CL,1584399104,91,-35.33,-72.42,55.96,8.5
mehamn,90,NO,1584399133,85,71.04,27.85,24.8,31.09
buala,64,SB,1584399133,67,-8.14,159.59,84.6,5.35
vila franca do campo,20,PT,1584399133,87,37.72,-25.43,55.4,3.36
bulgan,71,MN,1584399133,56,48.81,103.53,27.28,4.72
asmara,9,ER,1584398883,51,15.33,38.93,67.03,1.77
clyde river,20,CA,1584398933,57,70.47,-68.59,-11.2,9.17
turayf,0,SA,1584399134,82,31.67,38.66,55.4,4.7
crotone,0,IT,1584399134,69,39.09,17.12,49.26,1.9
mantua,0,IT,1584399134,70,45.17,10.78,46.99,4.7
avera,90,US,1584399134,76,33.19,-82.53,64.4,5.82
progreso,75,MX,1584399134,49,21.28,-89.67,91.4,12.75
dunedin,98,NZ,1584399134,53,-45.87,170.5,54.0,5.99
viedma,66,AR,1584399135,37,-40.81,-63.0,71.11,15.64
sabha,0,LY,1584399135,32,27.04,14.43,64.63,12.48
centralia,1,US,1584399135,50,46.72,-122.95,60.8,9.17
half moon bay,1,US,1584399135,62,37.46,-122.43,55.0,9.17
berdigestyakh,96,RU,1584399135,96,62.1,126.7,21.94,4.54
samarai,99,PG,1584399135,60,-10.62,150.67,85.23,2.28
taunggyi,29,MM,1584399135,37,20.78,97.03,58.57,5.77
coihaique,75,CL,1584399136,55,-45.58,-72.07,62.6,8.05
diego de almagro,0,CL,1584399136,63,-26.37,-70.05,59.16,1.86
san jose,1,US,1584399125,62,37.34,-121.89,55.0,9.17
stara moravica,33,RS,1584399136,59,45.87,19.47,37.4,5.82
broken hill,0,AU,1584399136,37,-31.95,141.43,69.8,10.29
taksimo,100,RU,1584398934,94,56.34,114.88,16.39,0.89
ayios nikolaos,20,GR,1584399136,61,38.42,23.65,50.0,21.92
lasa,28,IT,1584399137,85,46.62,10.7,41.0,2.24
hami,0,CN,1584399137,25,42.8,93.45,38.89,3.42
gornyatskiy,0,RU,1584399137,72,48.29,40.96,31.19,4.23
kudahuvadhoo,1,MV,1584398994,75,2.67,72.89,83.19,11.43
kaoma,94,ZM,1584399137,98,-14.78,24.8,65.66,1.77
labrea,100,BR,1584399137,98,-7.26,-64.8,75.34,1.16
oksbol,7,DK,1584399138,81,55.63,8.29,43.0,8.05
halifax,75,CA,1584398998,68,44.65,-63.57,28.0,13.87
yerbogachen,100,RU,1584399138,95,61.28,108.01,26.87,9.24
atar,92,MR,1584399138,20,20.52,-13.05,67.05,8.86
mount isa,23,AU,1584399138,44,-20.73,139.5,78.8,1.12
makarov,85,RU,1584399138,73,48.63,142.8,24.6,6.71
rabaul,100,PG,1584399138,69,-4.2,152.17,82.94,2.33
haines junction,100,CA,1584399139,84,60.75,-137.51,26.74,5.99
tazovskiy,100,RU,1584399139,94,67.47,78.7,4.06,18.43
narsaq,1,GL,1584398925,78,60.92,-46.05,1.33,1.83
hofn,93,IS,1584399139,80,64.25,-15.21,39.69,41.72
mvomero,100,TZ,1584399139,98,-6.25,38.67,74.68,3.56
senanga,97,ZM,1584399139,87,-16.12,23.27,67.93,5.82
faya,0,SA,1584399140,77,18.39,42.45,60.8,4.7
bama,61,NG,1584399140,16,11.52,13.69,64.09,1.92
lodwar,39,KE,1584399140,50,3.12,35.6,85.48,8.88
harper,89,LR,1584399140,92,4.38,-7.72,77.09,4.05
pimentel,40,PE,1584399140,29,-6.84,-79.93,66.2,19.46
port moresby,90,PG,1584399140,100,-9.44,147.18,75.2,11.41
wawa,56,NG,1584399140,22,9.9,4.42,82.87,4.59
yumen,0,CN,1584399140,26,40.28,97.2,33.82,11.07
ontario,90,US,1584399069,58,34.06,-117.65,64.4,9.17
guanica,40,PR,1584399141,79,17.97,-66.91,81.0,16.11
albemarle,90,US,1584399109,58,35.35,-80.2,55.0,3.36
batagay,92,RU,1584399141,82,67.63,134.63,-1.86,3.04
ayia galini,75,GR,1584399141,58,35.1,24.68,53.6,24.16
tocopilla,55,CL,1584399141,57,-22.09,-70.2,56.98,2.28
georgetown,20,MY,1584399070,69,5.41,100.34,82.4,6.93
makakilo city,75,US,1584399142,100,21.35,-158.09,80.6,9.17
castries,20,LC,1584399142,69,14.0,-61.01,80.6,6.93
banda aceh,100,ID,1584399142,89,5.56,95.32,75.11,5.01
atikokan,98,CA,1584399142,80,48.76,-91.62,21.72,10.18
yuxia,92,CN,1584399142,80,34.06,108.63,53.01,4.47
la romana,40,DO,1584399143,69,18.43,-68.97,78.8,6.93
tabuk,94,PH,1584399143,83,17.42,121.44,69.76,2.89
rosetta,40,EG,1584399143,77,31.4,30.42,60.8,11.41
bonthe,94,SL,1584399143,82,7.53,-12.51,80.42,7.52
kirkenes,56,NO,1584399143,73,69.73,30.05,23.0,39.15
pacific grove,63,US,1584399143,71,36.62,-121.92,55.4,12.06
marabba,14,SD,1584399143,12,12.35,32.18,73.65,10.07
kostroma,100,RU,1584399144,47,57.77,40.93,37.4,15.66
